task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b3/7046bb	221589	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_HMMBUILD (annotation1)	CACHED	0	2025-04-10 10:20:02.236	1.3s	612ms	104.1%	6.5 MB	152.7 MB	381.4 KB	269 KB
4	50/f26e46	222193	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_UNALIGNREF (reannot202503)	CACHED	0	2025-04-10 10:20:03.115	749ms	0ms	167.4%	3 MB	5.4 MB	177.3 KB	68.5 KB
1	32/e1a5dc	221632	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_UNALIGNREF (annotation1)	CACHED	0	2025-04-10 10:20:02.284	810ms	0ms	111.6%	3 MB	5.4 MB	177.3 KB	68.5 KB
3	20/566780	221609	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_HMMBUILD (reannot202503)	CACHED	0	2025-04-10 10:20:02.264	1.5s	619ms	102.5%	6.2 MB	152.7 MB	381.4 KB	269 KB
6	33/50088c	222469	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_HMMALIGNREF (annotation1)	CACHED	0	2025-04-10 10:20:03.664	3.1s	2.2s	100.6%	12.9 MB	18.2 MB	508.5 KB	348.2 KB
7	67/661967	222662	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_HMMALIGNREF (reannot202503)	CACHED	0	2025-04-10 10:20:03.979	4.7s	3.9s	100.5%	13.2 MB	18.2 MB	508.5 KB	348.2 KB
10	51/e71569	224908	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_MASKREF (reannot202503)	CACHED	0	2025-04-10 10:20:08.743	459ms	0ms	87.8%	3 MB	5.4 MB	253.7 KB	169.2 KB
9	43/909870	223947	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_MASKREF (annotation1)	CACHED	0	2025-04-10 10:20:06.776	564ms	0ms	122.4%	2.9 MB	5.4 MB	253.7 KB	169.2 KB
11	f2/0d7829	225294	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_AFAFORMATREF (reannot202503)	CACHED	0	2025-04-10 10:20:09.231	484ms	0ms	92.3%	3 MB	5.4 MB	195.1 KB	110.9 KB
12	0d/2d50b1	224338	NFCORE_PHYLOPLACE:PHYLOPLACE:FASTA_NEWICK_EPANG_GAPPA:HMMER_AFAFORMATREF (annotation1)	CACHED	0	2025-04-10 10:20:07.549	683ms	0ms	130.4%	3.1 MB	5.4 MB	195.1 KB	110.9 KB
